code,num
C1072,661.125
C1128,1333.0099999999998
C1456,631.2088888888889
C1840,531.5425
C1332,1205.1675
C1563,1395.081818181818
C1794,983.0183333333334
C1640,393.52500000000003
C1377,376.288
C2072,310.5425
C1472,512.676
C1006,182.73962962962975
C1083,437.3660000000001
C1311,258.8325
C2676,218.34630434782616
C2318,253.925
C1603,350.52250000000004
C2523,272.17333333333335
C2177,208.71280000000013
C2411,842.662
C2033,151.04
C1604,468.995
C2535,479.745
C1040,518.98
C2417,351.31
C1812,116.07259259259256
C2253,110.32161290322578
C1294,488.62000000000006
C1772,311.09
C2646,551.3399999999999
C1152,1023.86
C2423,198.345
C1844,332.11333333333334
C1318,209.35333333333332
C1729,87.57360000000003
C1602,276.805
C1239,417.4325
C1721,535.4300000000001
C1902,846.3199999999999
C1855,329.685
C2600,505.0400000000001
C1071,455.53000000000003
C2295,421.216
C1621,434.2214285714286
C1852,801.4722222222222
C2555,980.0619999999999
C1297,438.968
C2323,559.3500000000001
C2215,425.64
C2112,400.18666666666667
C1830,838.4744444444445
C2602,293.87
C2608,819.12125
C1215,736.9366666666668
C2369,546.5
C1158,293.02
C1887,428.46000000000004
C1189,321.3775
C1637,376.47333333333336
C1225,140.84
C2374,435.0833333333333
C2397,556.9399999999999
C1105,1051.399
C1782,403.48
C1629,125.08
C1708,254.32555555555552
C2144,706.4128571428572
C1617,942.2425000000001
C1149,558.0559999999999
C1323,447.7728571428571
C1064,798.7
C1019,361.29
C2269,554.336
C1416,791.2114285714285
C1250,472.3316666666667
C1741,425.76666666666665
C1016,779.765
C2675,993.2762499999999
C2436,564.0319999999999
C2039,870.1283333333334
C1253,860.25
C2028,986.316
C1166,287.355
C1135,254.99499999999998
C1216,370.27666666666664
C1593,195.5125
C1826,260.49333333333334
C1827,393.148
C1564,246.70142857142858
C1495,1118.422
C2653,831.9525
C1392,698.9983333333333
C2128,311.0625
C1282,577.2133333333333
C1521,888.7622222222221
C2076,880.0566666666667
C1060,539.1628571428571
C2473,1276.6833333333334
C2557,672.2257142857143
C1835,948.4814285714286
C2224,612.515
C2222,450.84142857142854
C2430,714.0266666666666
C2497,471.93
C1494,831.3033333333334
C1457,494.71999999999997
C1525,1318.6664705882354
C1712,567.0816666666668
C2267,1094.506
C1623,309.63166666666666
C2131,552.5366666666667
C2691,1023.8266666666667
C1147,891.1671428571428
C1692,1023.64
C1570,1075.6425000000002
C1474,146.66750000000002
C1633,183.45333333333335
C2113,513.45875
C2175,940.8449999999999
C2303,1330.6016666666667
C2547,545.4599999999999
C2292,780.2919999999999
C1496,654.7033333333334
C1289,416.858
C1849,720.046
C1003,300.3275
C2268,422.8718181818182
C2551,585.12
C2688,73.93166666666667
C1030,39.18333333333334
C1327,84.1075
C2451,496.49
C1749,474.1011111111111
C1349,245.76000000000002
C2043,253.82857142857142
C1229,230.89249999999998
C2363,459.75499999999994
C1414,409.91428571428565
C2174,448.71000000000004
C2091,171.63000000000002
C2335,679.39
C1841,71.34599999999999
C2404,145.99545454545455
C1683,287.39875
C1038,339.0516666666667
C2456,233.245
C1266,518.132
C2152,36.019999999999996
C1267,448.0581818181818
C2189,236.39
